Avaliações
"O pequeno almoço é divinal. A casa é muito confortável"
"Nada."
"Localizada no centro de Beja a Maria's Gesthouse é uma casa antiga restaurada e decorada com extremo bom gosto e onde nos sentimos como na nossa própria casa. Os proprietários são inexcedíveis na simpatia e esforço em nos proporcionar uma estadia aprazível. O pequeno almoço foi uma ótima surpresa combinando os sabores locais com alternativas saudáveis e para as crianças, os ovos mexidos com bacon de perú estavam deliciosos."
"Toda a equipa muito simpática e prestável. As instalações muito limpas e de grande qualidade, bom gosto. O pequeno almoço é ótimo, com produtos locais, bem confecionados. Parabéns! Havemos de voltar."
"muito bom! Super limpo e acolhedor. Desde a simpatia e profissionalismo do Paulo e da funcionária, ao pequeno almoço divinal, com iguarias feitas na hora e com doces caseiros! simplesmente maravilhoso! Quase que nos sentimos em casa. Aconselho vivamente. A repetir."
"O pequeno-almoço era excelente. Todo o staff era extremamente simpático e prestável."
"Excelente localização, no centro de Beja! Casa muito bem recuperada, ambiente acolhedor e confortável. Anfitrião muito simpático! Pequeno-almoço excecional! Para voltar sem dúvida!"
"nada"
"Casa impecavelmente decorada com muito bom gosto e cuidado. O dono foi muito atencioso e prestável. Soberbo pequeno Almoço. Recomendo e voltarei!"
"Alojamento fantástico, Staff incrível, pequeno almoço maravilhoso"
"Da simpatia e carinho com que nos receberam, o local é maravilhoso e muito tranquilo. Obrigada Ao Sr . Paulo e as suas Marias vamos voltar sem dúvida"
"Excelente pequeno almoço. Quarto amplo e muito limpo. Simpatia dos anfitriões."
"Tudo 5* desde a receção até à partida. O maravilhoso pequeno almoço elaborado com muito gosto! Obrigada"
"O pequeno almoço foi excelente. As pessoas muitíssimo simpáticas"
"Limpeza, simpatia e qualidade de todo o serviço."
"Estava tudo perfeito e pensado ao pormenor. Absolutamente nada a apontar."
"Adoramos ficar no Maria’s Guesthouse, para além de bem situado, o nosso anfitrião, o Paulo, teve todo o gosto em fazer-nos sentir em casa. Decoração temática dos quartos todos com referências à história de Beja, com atenção a cada detalhe. A paixão do Paulo pelas antiguidades revela-se a cada passo. Fomos acolhidos com muito carinho também pela mãe do Paulo que ajuda na confeção dos saborosos e variados pequenos-almoços, com os quais não vai deixar de se deliciar, servidos no pátio exterior cheio de charme ou no interior nos dias mais frescos. Limpeza e logística impecáveis. Uma estadia obrigatório se passarem por Beja. Recomendo muito pois nós vamos voltar de certeza, queremos conhecer os outros quartos e usufruir novamente dum espaço belíssimo, da simpatia do Paulo e da sua mãe, sempre prontos para ajudar. Obrigada por nos receberem tão bem! Elisabeth"
"Limpeza, simpatia, frescura, decoração, pequeno almoço. Tudo impecável."
"Nada a apontar."
"O pequeno almoço tinha tudo, variedade, frescura, cuidado, uma apresentação sublime e tudo isto embrulhado num tratamento de uma simpatia familiar. Frutas, sumos, café, produtos caseiros e muitos que variavam ou apareciam a pedido. Uma mistura de um cuidado 5 estrelas com o carinho e mimo de uma avó."
"Apenas da escada íngreme de acesso ao quarto."
"Excelente pequeno-almoço em qualidade e quantidade. A simpatia e disponibilidade do Sr. Paulo e da D. Maria. A localização não podia ser melhor,  fica no centro."
"Decoração (originalidade). Pequeno almoço. Colchões da cama"
"Pequeno almoço excelente"
"Nada a referir."
"Um alojamento excecional - localização, acolhimento, simpatia, instalações, serviços, comodidades, familiaridade, bom gosto,... um doce, doce lar. Obrigada ao sr. Paulo e esposa. Assim, vale a pena!"
"A escada de acesso à mezzanine (quarto) na casa O Alentejano apesar de ser sólida e bem construída /instalada não é aconselhável a pessoas com limitação física (íngreme)."
"Tudo Excelente! O bom gosto da decoração, o anfitrião e a sua equipa e a grande atenção ao detalhe. Pequeno almoço melhor que 5*...divinal!"
"Tudo ótimo!"
"Adoramos tudo, sentimos-nos como em casa. O senhor Paulo foi muito disponível e atencioso. O quarto estava super limpo. Adoramos a nossa varanda pequenina. A melhor parte è sem dúvida o pequeno almoço! Preparado na hora com produtos frescos, 5 estrelas mesmo! Ficamos sem palavras! Muito obrigada pela atenção e pela forma como nos receberam!"
"Qualidade, bom gosto, simpatia e disponibilidade dos anfitriões, limpeza, pequeno almoço  optimo. Altamente recomendável!"
"Excelente estadia com simpáticos anfitriãos e soberbo pequeno almoço."
